place_id,title,rating,reviews,price,categories,link
8cLo6GpxDnMZL_m9CZHLQQ,Little Poms,4.7,7,,Cafes,https://www.yelp.com/biz/little-poms-christchurch?osq=Restaurant
little-poms-christchurch,Little Poms,4.7,7,,Cafes,https://www.yelp.com/biz/little-poms-christchurch?osq=Restaurant
P1H0yDrQu_AvSSzg-VA_Tg,Chong’s Chinese Restaurant,3.4,7,,Chinese,https://www.yelp.com/biz/chongs-chinese-restaurant-christchurch?osq=Restaurant
chongs-chinese-restaurant-christchurch,Chong’s Chinese Restaurant,3.4,7,,Chinese,https://www.yelp.com/biz/chongs-chinese-restaurant-christchurch?osq=Restaurant
tNR2T_6WDkyJ-JKmZRhX5A,Original Sin,3.3,3,,"Bars, Modern European, New Zealand",https://www.yelp.com/biz/original-sin-christchurch?osq=Restaurant
original-sin-christchurch,Original Sin,3.3,3,,"Bars, Modern European, New Zealand",https://www.yelp.com/biz/original-sin-christchurch?osq=Restaurant
E1KZg_8jIU8K8ssOfMf4WQ,Casa Nostra Italian Kitchen,4.5,2,,"Pizza, Italian",https://www.yelp.com/biz/casa-nostra-italian-kitchen-christchurch?osq=Restaurant
casa-nostra-italian-kitchen-christchurch,Casa Nostra Italian Kitchen,4.5,2,,"Pizza, Italian",https://www.yelp.com/biz/casa-nostra-italian-kitchen-christchurch?osq=Restaurant
7LpEQNgWW7HQpW_OEqtHZA,Mamacita’s,4.5,2,$,"Mexican, Food Stands",https://www.yelp.com/biz/mamacitas-christchurch?osq=Restaurant
mamacitas-christchurch,Mamacita’s,4.5,2,$,"Mexican, Food Stands",https://www.yelp.com/biz/mamacitas-christchurch?osq=Restaurant
ruNgQ0yW2ZO8ljpUORLXhA,Passengers & Co,5.0,1,,"Diners, Breakfast & Brunch, Cafes",https://www.yelp.com/biz/passengers-and-co-christchurch?osq=Restaurant
passengers-and-co-christchurch,Passengers & Co,5.0,1,,"Diners, Breakfast & Brunch, Cafes",https://www.yelp.com/biz/passengers-and-co-christchurch?osq=Restaurant
XQIYjTHg6Sa_rbvQMnd0Hw,Mum’s,3.6,7,$$,"Japanese, Korean",https://www.yelp.com/biz/mums-christchurch?osq=Restaurant
mums-christchurch,Mum’s,3.6,7,$$,"Japanese, Korean",https://www.yelp.com/biz/mums-christchurch?osq=Restaurant
Vv9KpLdzEyrUS9XO5n2Bhw,Pier Side Cafe,3.0,1,,"Burgers, Gastropubs, Fish & Chips",https://www.yelp.com/biz/pier-side-cafe-christchurch?osq=Restaurant
pier-side-cafe-christchurch,Pier Side Cafe,3.0,1,,"Burgers, Gastropubs, Fish & Chips",https://www.yelp.com/biz/pier-side-cafe-christchurch?osq=Restaurant
PvLqDBhfAJOlfGxXwKhepA,Dose Diner,4.2,6,$$,"Coffee & Tea, Breakfast & Brunch",https://www.yelp.com/biz/dose-diner-christchurch?osq=Restaurant
dose-diner-christchurch,Dose Diner,4.2,6,$$,"Coffee & Tea, Breakfast & Brunch",https://www.yelp.com/biz/dose-diner-christchurch?osq=Restaurant
0EKaDtcp6hbLV43t88bGnw,Velvet Burger,3.8,5,$$,Burgers,https://www.yelp.com/biz/velvet-burger-christchurch?osq=Restaurant
velvet-burger-christchurch,Velvet Burger,3.8,5,$$,Burgers,https://www.yelp.com/biz/velvet-burger-christchurch?osq=Restaurant
8_ME-_vppOTzeKu-xDswEg,Trevinos,3.7,7,,"Breakfast & Brunch, Bars",https://www.yelp.com/biz/trevinos-christchurch?osq=Restaurant
trevinos-christchurch,Trevinos,3.7,7,,"Breakfast & Brunch, Bars",https://www.yelp.com/biz/trevinos-christchurch?osq=Restaurant
5LyyTx5wd2cYtZTGwHugRg,Gatherings,5.0,3,,"Wine Bars, New Zealand",https://www.yelp.com/biz/gatherings-christchurch?osq=Restaurant
gatherings-christchurch,Gatherings,5.0,3,,"Wine Bars, New Zealand",https://www.yelp.com/biz/gatherings-christchurch?osq=Restaurant
M80xGBCVqm2FeFQHSluz0A,Saigon Star,5.0,1,,Vietnamese,https://www.yelp.com/biz/saigon-star-christchurch?osq=Restaurant
saigon-star-christchurch,Saigon Star,5.0,1,,Vietnamese,https://www.yelp.com/biz/saigon-star-christchurch?osq=Restaurant
ExhoAsL1U36BpSUfm3BcKQ,Lyttleton Coffee Company,4.3,10,$$,Cafes,https://www.yelp.com/biz/lyttleton-coffee-company-lyttelton?osq=Restaurant
lyttleton-coffee-company-lyttelton,Lyttleton Coffee Company,4.3,10,$$,Cafes,https://www.yelp.com/biz/lyttleton-coffee-company-lyttelton?osq=Restaurant
ZVYKvu_01xFMlg1q1dwz7A,Samurai Bowl,3.8,6,$$,Japanese,https://www.yelp.com/biz/samurai-bowl-christchurch?osq=Restaurant
samurai-bowl-christchurch,Samurai Bowl,3.8,6,$$,Japanese,https://www.yelp.com/biz/samurai-bowl-christchurch?osq=Restaurant
hCHZU4sUxjSiH3GaJ3A_iQ,Winnie Bagoes,3.3,6,$$,Pizza,https://www.yelp.com/biz/winnie-bagoes-christchurch-4?osq=Restaurant
winnie-bagoes-christchurch-4,Winnie Bagoes,3.3,6,$$,Pizza,https://www.yelp.com/biz/winnie-bagoes-christchurch-4?osq=Restaurant
sJe7OClizoT5ImAiaYzgUA,Edo Japanese Restaurant,5.0,1,,"Japanese, Sushi Bars",https://www.yelp.com/biz/edo-japanese-restaurant-christchurch?osq=Restaurant
edo-japanese-restaurant-christchurch,Edo Japanese Restaurant,5.0,1,,"Japanese, Sushi Bars",https://www.yelp.com/biz/edo-japanese-restaurant-christchurch?osq=Restaurant
iBPvtWLgbUFgPfeiGJqylA,NomNom Kitchen,4.5,2,,Asian Fusion,https://www.yelp.com/biz/nomnom-kitchen-christchurch?osq=Restaurant
nomnom-kitchen-christchurch,NomNom Kitchen,4.5,2,,Asian Fusion,https://www.yelp.com/biz/nomnom-kitchen-christchurch?osq=Restaurant
XhFWHZ-7HH5RgUWy3qWJQQ,ChiChi Kitchen,3.8,4,,Italian,https://www.yelp.com/biz/chichi-kitchen-christchurch?osq=Restaurant
chichi-kitchen-christchurch,ChiChi Kitchen,3.8,4,,Italian,https://www.yelp.com/biz/chichi-kitchen-christchurch?osq=Restaurant
fDMpiVDduvfL5ZH-CTSZLw,Pescatore,3.5,2,,Restaurants,https://www.yelp.com/biz/pescatore-christchurch?osq=Restaurant
pescatore-christchurch,Pescatore,3.5,2,,Restaurants,https://www.yelp.com/biz/pescatore-christchurch?osq=Restaurant
Bonsa2BwNhdqFWVmrn1Rag,Abalone Thai Restaurant,4.0,4,,Thai,https://www.yelp.com/biz/abalone-thai-restaurant-christchurch-city?osq=Restaurant
