place_id,data_id,title,address,lat,lon,type,rating,reviews_count,url,search_query,start_offset,serpapi_search_id,unique_key
ChIJlbDxceSLMW0RPViwmhwb_4A,0x6d318be471f1b095:0x80ff1b1c9ab0583d,Doubles,"62 Worcester Boulevard, Christchurch Central City, Christchurch 8013, New Zealand",-43.5313059,172.63188839999998,Cafe,4.5,216.0,,"cafes in Christchurch, New Zealand",0,691506083f79e87caa276cf7,ChIJlbDxceSLMW0RPViwmhwb_4A
ChIJXSWGy1CLMW0R2GNikQgUwnI,0x6d318b50cb86255d:0x72c21408916263d8,Indian Zaika,"231 Papanui Road, Merivale, Christchurch 8014, New Zealand",-43.510837599999995,172.6203893,Indian restaurant,4.3,215.0,,"indian restaurant in Christchurch, New Zealand",40,691506e34707f16394f233ab,ChIJXSWGy1CLMW0R2GNikQgUwnI
ChIJc0cPvCSKMW0R3N83A3zG1xM,0x6d318a24bc0f4773:0x13d7c67c0337dfdc,Coffee Lovers Cafe,"25 New Regent Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.5292325,172.63856859999999,Cafe,4.1,215.0,,"cafes in Christchurch, New Zealand",60,69150613e171b9427773c269,ChIJc0cPvCSKMW0R3N83A3zG1xM
ChIJaR_3SBmKMW0R-Be4VpzrW2U,0x6d318a1948f71f69:0x655beb9c56b817f8,Hang Seng Food Bar,"Corner Moorhouse Avenue, Madras Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.538575,172.6423606,Takeout Restaurant,4.6,214.0,,"food in Christchurch, New Zealand",20,6915065332f11d73f8fd5e65,ChIJaR_3SBmKMW0R-Be4VpzrW2U
ChIJM8KxiHggMm0Rpbs_Lo3eDbk,0x6d32207888b1c233:0xb90dde8d2e3fbba5,The Black Horse Hotel,"33 Lincoln Road, Hillmorton, Christchurch 8024, New Zealand",-43.5518271,172.5975631,Bar & grill,4.3,213.0,,"bars in Christchurch, New Zealand",80,691506303047f3057eaf98e1,ChIJM8KxiHggMm0Rpbs_Lo3eDbk
ChIJeZnAJ_qLMW0RqP9d5LcUam4,0x6d318bfa27c09979:0x6e6a14b7e45dffa8,Indo Tempeh House,"96 Oxford Terrace, Christchurch Central City, Christchurch 8011, New Zealand",-43.5339186,172.6340438,Indonesian restaurant,4.8,211.0,,"asian restaurant in Christchurch, New Zealand",80,691506a2e171b9ed2daa3bc1,ChIJeZnAJ_qLMW0RqP9d5LcUam4
ChIJ6Xe1aY6JMW0R2_H9P5WgE2M,0x6d31898e69b577e9:0x6313a0953ffdf1db,Majors Takeaways Fish & Chip Burger,"108c Stanmore Road, Linwood, Christchurch 8011, New Zealand",-43.5300284,172.657195,Fish & chips restaurant,4.3,211.0,,"takeaways in Christchurch, New Zealand",100,6915064abd1731b09aa0da67,ChIJ6Xe1aY6JMW0R2_H9P5WgE2M
ChIJAym0sdeLMW0RMQrEWrOytdI,0x6d318bd7b1b42903:0xd2b5b2b35ac40a31,Supreme Chinese Takeaways,"3/680 Barbadoes Street, Edgeware, Christchurch 8013, New Zealand",-43.5085331,172.6464044,Chinese takeaway,4.3,208.0,,"takeaways in Christchurch, New Zealand",40,6915063ffdfbabd7c21003cf,ChIJAym0sdeLMW0RMQrEWrOytdI
ChIJXSVXBaKLMW0RkTipCQSLkag,0x6d318ba20557255d:0xa8918b0409a93891,six ounces,"178 Papanui Road, Merivale, Christchurch 8014, New Zealand",-43.5128689,172.6224749,Cafe,4.7,208.0,,"cafes in Christchurch, New Zealand",0,691506083f79e87caa276cf7,ChIJXSVXBaKLMW0RkTipCQSLkag
ChIJO-LOxRiLMW0R25lEN57800o,0x6d318b18c5cee23b:0x4ad3fc9e374499db,Black & White Coffee Cartel,"27 Plymouth Lane, Christchurch Central City, Christchurch 8011, New Zealand",-43.533630599999995,172.6348572,Cafe,4.3,207.0,,"cafes in Christchurch, New Zealand",100,6915061b95e0b3fd752acb14,ChIJO-LOxRiLMW0R25lEN57800o
ChIJieWQUxiJMW0R-VULKsKICsY,0x6d3189185390e589:0xc60a88c22a0b55f9,Big Bang Chicken and Sushi,"Shop6/114 Marshland Road, Shirley, Christchurch 8061, New Zealand",-43.4996855,172.6624501,Fried chicken takeaway,4.5,207.0,,"japanese restaurant in Christchurch, New Zealand",80,691506d313f4b687fe830e7b,ChIJieWQUxiJMW0R-VULKsKICsY
ChIJcx8GD0qLMW0Rx66Rs9NasbM,0x6d318b4a0f061f73:0xb3b15ad3b391aec7,Indian Springs Eatery,"4 Troup Drive, Addington, Christchurch 8011, New Zealand",-43.540771199999995,172.6050575,Restaurant,4.4,205.0,,"indian restaurant in Christchurch, New Zealand",40,691506e34707f16394f233ab,ChIJcx8GD0qLMW0Rx66Rs9NasbM
ChIJb_yBscuJMW0RIAdUqBOWroo,0x6d3189cbb181fc6f:0x8aae9613a8540720,Glenbyre Tavern,"111 Keighleys Road, Bromley, Christchurch 8062, New Zealand",-43.5407474,172.6879956,Bar,4.0,205.0,,"bars in Christchurch, New Zealand",100,6915063471b49242e9c23e75,ChIJb_yBscuJMW0RIAdUqBOWroo
ChIJBxf11DyKMW0RyItEG8kvG9M,0x6d318a3cd4f51707:0xd31b2fc91b448bc8,HELL Pizza Hereford Street,"138 Hereford Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.5321776,172.6373788,Pizza restaurant,4.3,204.0,,"pizza in Christchurch, New Zealand",40,6915067e3882c5fdfb13de11,ChIJBxf11DyKMW0RyItEG8kvG9M
ChIJXUNCElSLMW0Rv2888oaLYbc,0x6d318b541242435d:0xb7618b86f23c6fbf,Majestic Coffee - Five Lanes,"BNZ Centre, 10/120 Hereford Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.532463899999996,172.636023,Cafe,4.9,204.0,,"cafes in Christchurch, New Zealand",60,69150613e171b9427773c269,ChIJXUNCElSLMW0Rv2888oaLYbc
ChIJF1r3QiyLMW0Rio_0vy-q5iE,0x6d318b2c42f75a17:0x21e6aa2fbff48f8a,Habanero's Urban Mexican Grill (Eats on Oxford City Central),"Unit1/32 Oxford Terrace, Christchurch Central City, Christchurch 8011, New Zealand",-43.5351473,172.6294388,Tex-Mex restaurant,4.6,202.0,,"food court in Christchurch, New Zealand",0,6915066809a51a3fe9ca6400,ChIJF1r3QiyLMW0Rio_0vy-q5iE
ChIJzXt88ZsgMm0R0MLHihypnjI,0x6d32209bf17c7bcd:0x329ea91c8ac7c2d0,Milton Street Takeaways (Christchurch),"3 Milton Street, Spreydon, Christchurch 8002, New Zealand",-43.558006999999996,172.62041499999998,Fish and chips takeaway,4.5,200.0,,"takeaways in Christchurch, New Zealand",0,691506381de0640225bc719b,ChIJzXt88ZsgMm0R0MLHihypnjI
ChIJ7d39fTmLMW0Rn0snMq95v7c,0x6d318b397dfddded:0xb7bf79af32274b9f,Story,"8 New Regent Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.5295932,172.6388131,Restaurant,4.7,200.0,,"restaurants in Christchurch, New Zealand",20,691504b8a8dce669c3481fee,ChIJ7d39fTmLMW0Rn0snMq95v7c
ChIJ4Vy4UKeLMW0Rfq1gZ0HSlRI,0x6d318ba750b85ce1:0x1295d2416760ad7e,LONDO,"Unit 6/2 Papanui Road, Merivale, Christchurch 8014, New Zealand",-43.5205444,172.6280013,Restaurant,4.8,198.0,,"food in Christchurch, New Zealand",80,6915065f23df78c9da77a141,ChIJ4Vy4UKeLMW0Rfq1gZ0HSlRI
ChIJxUmlAgmLMW0RUNdfAdB9DJg,0x6d318b0902a549c5:0x980c7dd0015fd750,The Loft Bar,"93 Cashel Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.532852899999995,172.63466839999998,Bar,4.7,198.0,,"bars in Christchurch, New Zealand",20,6915062371577f928e831715,ChIJxUmlAgmLMW0RUNdfAdB9DJg
ChIJkeer2xeSMW0RJzVdWsUpz68,0x6d319217dbabe791:0xafcf29c55a5d3527,Indian Lotus Restaurant and Takeaway,"7/42 Silverstream Boulevard, Kaiapoi, Christchurch 7630, New Zealand",-43.3810344,172.6362871,Indian restaurant,4.5,197.0,,"indian restaurant in Christchurch, New Zealand",60,691506e7556ce3627c5e66e1,ChIJkeer2xeSMW0RJzVdWsUpz68
ChIJgQGVc2gfMm0ReqHX1n_YxsE,0x6d321f6873950181:0xc1c6d87fd6d7a17a,Flavors Kebab & Biryani (Halal),"65 The Runway, Wigram, Christchurch 8042, New Zealand",-43.5521874,172.5571842,Biryani restaurant,4.9,197.0,,"indian restaurant in Christchurch, New Zealand",60,691506e7556ce3627c5e66e1,ChIJgQGVc2gfMm0ReqHX1n_YxsE
ChIJTVVYrteLMW0R_8OKTL2z_Xo,0x6d318bd7ae58554d:0x7afdb3bd4c8ac3ff,Schroeders Tavern,"680 Barbadoes Street, St Albans, Christchurch 8013, New Zealand",-43.5082982,172.6464646,Bar,4.5,194.0,,"bars in Christchurch, New Zealand",40,6915062750d43e018eff46ef,ChIJTVVYrteLMW0R_8OKTL2z_Xo
ChIJYyo--syLMW0R3SUIpNZal2g,0x6d318bccfa3e2a63:0x68975ad6a40825dd,Crispy Chicken,"3/235 Riccarton Road, Riccarton, Christchurch 8041, New Zealand",-43.5308597,172.58758129999998,Chicken restaurant,4.9,194.0,,"takeaways in Christchurch, New Zealand",20,6915063cd02d2aa8ebe23f86,ChIJYyo--syLMW0R3SUIpNZal2g
ChIJea03IdCLMW0RsKdq0Gs2e6c,0x6d318bd02137ad79:0xa77b366bd06aa7b0,Kanha Kitchen,"56 Wordsworth Street, Sydenham, Christchurch 8023, New Zealand",-43.544894,172.6358942,Family restaurant,4.5,193.0,,"indian restaurant in Christchurch, New Zealand",20,691506ded355cc0ce67956bb,ChIJea03IdCLMW0RsKdq0Gs2e6c
ChIJeURqGOSKMW0Re2CWHa4yuJE,0x6d318ae4186a4479:0x91b832ae1d96607b,Fendalton Takeaways,"5 Memorial Avenue, Ilam, Christchurch 8053, New Zealand",-43.5184071,172.58951969999998,Fish & chips restaurant,4.3,192.0,,"takeaways in Christchurch, New Zealand",0,691506381de0640225bc719b,ChIJeURqGOSKMW0Re2CWHa4yuJE
ChIJ78D1Ex2IMW0Rhk1yCl4vM9k,0x6d31881d13f5c0ef:0xd9332f5e0a724d86,Chilli Flakes Indian Restaraunt,"2 Soleares Avenue, Mount Pleasant, Christchurch 8081, New Zealand",-43.5579827,172.7222744,Indian restaurant,4.6,191.0,,"indian restaurant in Christchurch, New Zealand",60,691506e7556ce3627c5e66e1,ChIJ78D1Ex2IMW0Rhk1yCl4vM9k
ChIJW3zZn56IMW0Rnn_ydPKvSdg,0x6d31889e9fd97c5b:0xd849aff274f27f9e,Spagalimis Pizzeria and Takeaway Bar,"218 Marine Parade, New Brighton, Christchurch 8061, New Zealand",-43.507261799999995,172.7307821,Pizza restaurant,3.5,191.0,,"pizza in Christchurch, New Zealand",60,691506836838635dfd25d5d7,ChIJW3zZn56IMW0Rnn_ydPKvSdg
ChIJF_M19-P1MW0Ry0GLMLxjdto,0x6d31f5e3f735f317:0xda7663bc308b41cb,The Lucky Thai,"299A Main South Road, Hornby, Christchurch 8042, New Zealand",-43.5433076,172.53915669999998,Restaurant,4.6,190.0,,"thai restaurant in Christchurch, New Zealand",20,691506ae4707f16394f2337e,ChIJF_M19-P1MW0Ry0GLMLxjdto
ChIJhZETPqGLMW0RhQsJyvAnnLw,0x6d318ba13e139185:0xbc9c27f0ca090b85,CHILLIKIWI Thai Kitchen,"481 Papanui Road, Papanui, Christchurch 8053, New Zealand",-43.498363399999995,172.60877,Thai restaurant,4.2,189.0,,"thai restaurant in Christchurch, New Zealand",40,691506b24707f16394f23381,ChIJhZETPqGLMW0RhQsJyvAnnLw
ChIJdydRa1qLMW0RefppP9_cNeI,0x6d318b5a6b512777:0xe235dcdf3f69fa79,SUMO'S Restaurant and Cafe,"2/182 Clarence Street, Riccarton, Christchurch 8011, New Zealand",-43.5304611,172.60216939999998,Fusion restaurant,4.2,187.0,,"japanese restaurant in Christchurch, New Zealand",60,691506d03f79e882c8f990c7,ChIJdydRa1qLMW0RefppP9_cNeI
ChIJu4mOlQ-KMW0RYIKPRl-0IdE,0x6d318a0f958e89bb:0xd121b45f468f8260,Sesame Sushi & Asian Fusion,"33 Elgin Street, Sydenham, Christchurch 8023, New Zealand",-43.5456451,172.6361346,Japanese restaurant,4.6,186.0,,"takeaways in Christchurch, New Zealand",100,6915064abd1731b09aa0da67,ChIJu4mOlQ-KMW0RYIKPRl-0IdE
ChIJB_yQnzeKMW0RnihvXN9GlVE,0x6d318a379f90fc07:0x519546df5c6f289e,The Dirty Land,"131 Victoria Street, Christchurch Central City, Christchurch 8013, New Zealand",-43.523489399999995,172.6296877,Cocktail bar,4.5,185.0,,"bars in Christchurch, New Zealand",0,6915061fcc56d3342f0925f9,ChIJB_yQnzeKMW0RnihvXN9GlVE
ChIJ-Tkp8bAhMm0R6FkdDmFTuYE,0x6d3221b0f12939f9:0x81b953610e1d59e8,Domino's Pizza Halswell,"10/29 Ensign Street, Halswell, Christchurch 8025, New Zealand",-43.5744739,172.5677125,Pizza restaurant,3.5,183.0,,"pizza in Christchurch, New Zealand",60,691506836838635dfd25d5d7,ChIJ-Tkp8bAhMm0R6FkdDmFTuYE
ChIJ0fiPwKaLMW0R0OTtLFZSi2w,0x6d318ba6c08ff8d1:0x6c8b52562cede4d0,Bali Thai Cuisine Blenheim Road,"6/472 Blenheim Road, Sockburn, Christchurch 8042, New Zealand",-43.538903,172.5634661,Asian restaurant,4.5,183.0,,"thai restaurant in Christchurch, New Zealand",20,691506ae4707f16394f2337e,ChIJ0fiPwKaLMW0R0OTtLFZSi2w
